player_name,Total_Matches,Total_Bt_Runs,Total_Bt_Balls,Total_Bw_Runs,Total_Bw_Balls,Total_4s,Total_6s,Total_Wkts,Batting_Points,Bowling_Points,Total_Fantasy_Points,FPS_per_Match,Match_Factor,Adjusted_FPS
B Sai Sudharsan,35,1648,1161,0,0,169,50,0,1917,0,1917,54.77142857142857,1.0,54.77142857142857
V Kohli,44,2037,1436,0,0,193,73,0,2376,0,2376,54.0,1.0,54.0
Shubman Gill,44,1966,1312,0,0,184,72,0,2294,0,2294,52.13636363636363,1.0,52.13636363636363
Mr Marsh,26,816,539,256,186,76,47,13,986,325,1311,50.42307692307692,1.0,50.42307692307692
Sp Narine,40,755,480,1083,905,77,53,40,938,1000,1938,48.45,1.0,48.45
Sa Yadav,43,1667,988,0,0,170,84,0,2005,0,2005,46.627906976744185,1.0,46.627906976744185
Dp Conway,21,828,618,0,0,94,22,0,966,0,966,46.0,1.0,46.0
Ybk Jaiswal,43,1619,1044,0,0,197,70,0,1956,0,1956,45.48837209302326,1.0,45.48837209302326
Sm Curran,32,660,531,1016,627,55,23,27,761,675,1436,44.875,1.0,44.875
Rd Gaikwad,34,1295,918,0,0,118,52,0,1517,0,1517,44.61764705882353,1.0,44.61764705882353
C Green,29,707,472,634,462,62,32,17,833,425,1258,43.37931034482759,1.0,43.37931034482759
Kl Rahul,36,1340,1014,0,0,126,44,0,1554,0,1554,43.166666666666664,1.0,43.166666666666664
H Klaasen,39,1414,849,0,0,93,88,0,1683,0,1683,43.15384615384615,1.0,43.15384615384615
F Du Plessis,38,1370,929,0,0,125,65,0,1625,0,1625,42.76315789473684,1.0,42.76315789473684
Tm Head,27,941,555,32,10,114,47,0,1149,0,1149,42.55555555555556,1.0,42.55555555555556
Jr Hazlewood,15,1,3,453,327,0,0,25,1,625,626,41.733333333333334,1.0,41.733333333333334
M Prasidh Krishna,15,0,0,477,364,0,0,25,0,625,625,41.666666666666664,1.0,41.666666666666664
Ra Jadeja,44,758,558,1105,865,58,27,38,870,950,1820,41.36363636363637,1.0,41.36363636363637
Ad Russell,39,616,414,659,401,49,48,34,761,850,1611,41.30769230769231,1.0,41.30769230769231
Jc Buttler,38,1289,901,0,0,130,50,0,1519,0,1519,39.973684210526315,1.0,39.973684210526315
N Pooran,43,1381,803,0,0,106,102,0,1691,0,1691,39.325581395348834,1.0,39.325581395348834
S Dhawan,16,525,400,0,0,67,16,0,624,0,624,39.0,1.0,39.0
Ar Patel,41,781,570,974,772,63,40,27,924,675,1599,39.0,1.0,39.0
Jj Bumrah,25,12,13,626,617,1,0,38,13,950,963,38.52,1.0,38.52
Wg Jacks,20,463,306,209,145,38,29,8,559,200,759,37.95,1.0,37.95
Pd Salt,34,1056,623,0,0,122,56,0,1290,0,1290,37.94117647058823,1.0,37.94117647058823
Naveen-Ul-Haq,17,18,26,571,407,2,0,25,20,625,645,37.94117647058823,1.0,37.94117647058823
R Parag,35,1048,722,187,147,72,65,3,1250,75,1325,37.857142857142854,1.0,37.857142857142854
Pj Cummins,30,233,157,992,687,15,15,34,278,850,1128,37.6,1.0,37.6
M Pathirana,30,0,0,870,739,0,0,45,0,1125,1125,37.5,1.0,37.5
Priyansh Arya,18,545,310,0,0,60,31,0,667,0,667,37.05555555555556,1.0,37.05555555555556
Hh Pandya,44,786,556,922,611,61,39,28,925,700,1625,36.93181818181818,1.0,36.93181818181818
Abhishek Sharma,41,1149,656,283,184,110,76,4,1411,100,1511,36.853658536585364,1.0,36.853658536585364
Sv Samson,38,1178,812,0,0,100,61,0,1400,0,1400,36.8421052631579,1.0,36.8421052631579
Da Warner,22,684,536,0,0,86,20,0,810,0,810,36.81818181818182,1.0,36.81818181818182
Ss Iyer,31,955,610,0,0,77,53,0,1138,0,1138,36.70967741935484,1.0,36.70967741935484
Akash Madhwal,17,8,14,562,376,0,0,24,8,600,608,35.76470588235294,1.0,35.76470588235294
Kr Mayers,13,379,276,55,46,38,22,0,461,0,461,35.46153846153846,1.0,35.46153846153846
Jm Bairstow,13,383,246,0,0,40,19,0,461,0,461,35.46153846153846,1.0,35.46153846153846
Cv Varun,41,2,12,1185,940,0,0,58,2,1450,1452,35.41463414634146,1.0,35.41463414634146
D Brevis,9,294,189,0,0,16,22,0,354,0,354,39.333333333333336,0.9,35.400000000000006
Tilak Varma,37,1102,776,14,11,84,58,0,1302,0,1302,35.189189189189186,1.0,35.189189189189186
Hv Patel,40,40,52,1285,905,1,2,54,45,1350,1395,34.875,1.0,34.875
Harshit Rana,30,57,55,949,648,5,3,39,68,975,1043,34.766666666666666,1.0,34.766666666666666
Jj Roy,8,285,196,0,0,36,12,0,345,0,345,43.125,0.8,34.5
Pp Chawla,27,40,37,793,586,2,2,35,46,875,921,34.111111111111114,1.0,34.111111111111114
Mp Stoinis,41,956,644,384,247,75,58,10,1147,250,1397,34.073170731707314,1.0,34.073170731707314
Mustafizur Rahman,14,1,2,465,333,0,0,19,1,475,476,34.0,1.0,34.0
P Simran Singh,46,1291,837,0,0,135,69,0,1564,0,1564,34.0,1.0,34.0
S Dube,42,1171,825,42,19,62,84,1,1401,25,1426,33.95238095238095,1.0,33.95238095238095
V Nigam,14,142,82,345,244,16,8,12,174,300,474,33.857142857142854,1.0,33.857142857142854
Rashid Khan,44,272,173,1422,1005,21,19,46,331,1150,1481,33.65909090909091,1.0,33.65909090909091
R Sai Kishore,20,18,16,520,355,0,2,26,22,650,672,33.6,1.0,33.6
Rd Rickelton,14,388,266,0,0,47,17,0,469,0,469,33.5,1.0,33.5
Mohammed Shami,26,15,19,829,590,2,0,34,17,850,867,33.34615384615385,1.0,33.34615384615385
Noor Ahmad,37,20,35,1023,827,2,0,48,22,1200,1222,33.027027027027025,1.0,33.027027027027025
M Jansen,25,132,125,780,546,8,5,27,150,675,825,33.0,1.0,33.0
Rr Pant,26,715,504,0,0,59,41,0,856,0,856,32.92307692307692,1.0,32.92307692307692
Ys Chahal,42,0,0,1373,965,0,0,55,0,1375,1375,32.73809523809524,1.0,32.73809523809524
Arshdeep Singh,44,8,12,1451,1017,1,0,57,9,1425,1434,32.59090909090909,1.0,32.59090909090909
N Rana,27,672,479,92,66,71,30,3,803,75,878,32.51851851851852,1.0,32.51851851851852
E Malinga,7,0,0,233,165,0,0,13,0,325,325,46.42857142857143,0.7,32.5
T Stubbs,29,709,438,68,37,51,38,4,836,100,936,32.275862068965516,1.0,32.275862068965516
J Fraser-Mcgurk,15,385,203,0,0,39,30,0,484,0,484,32.266666666666666,1.0,32.266666666666666
Am Rahane,35,958,668,0,0,84,43,0,1128,0,1128,32.22857142857143,1.0,32.22857142857143
Ishan Kishan,42,1128,793,4,1,122,49,0,1348,0,1348,32.095238095238095,1.0,32.095238095238095
Ta Boult,41,32,37,1227,925,3,1,51,37,1275,1312,32.0,1.0,32.0
Vr Iyer,34,916,633,28,6,82,44,0,1086,0,1086,31.941176470588236,1.0,31.941176470588236
Ak Markram,37,913,693,184,130,74,34,5,1055,125,1180,31.89189189189189,1.0,31.89189189189189
V Suryavanshi,7,252,129,0,0,18,24,0,318,0,318,45.42857142857143,0.7,31.8
Se Rutherford,11,291,203,0,0,22,18,0,349,0,349,31.727272727272727,1.0,31.727272727272727
Ma Starc,25,15,22,790,512,1,0,31,16,775,791,31.64,1.0,31.64
Rg Sharma,45,1167,843,0,0,121,62,0,1412,0,1412,31.377777777777776,1.0,31.377777777777776
Rm Patidar,27,707,462,0,0,46,47,0,847,0,847,31.37037037037037,1.0,31.37037037037037
Nt Ellis,12,1,7,394,282,0,0,15,1,375,376,31.333333333333332,1.0,31.333333333333332
Ls Livingstone,25,502,347,251,171,32,35,7,604,175,779,31.16,1.0,31.16
Mm Sharma,34,3,20,1016,676,0,0,42,3,1050,1053,30.970588235294116,1.0,30.970588235294116
M Markande,17,21,14,546,372,2,1,20,25,500,525,30.88235294117647,1.0,30.88235294117647
Vg Arora,27,4,11,802,580,0,0,33,4,825,829,30.703703703703702,1.0,30.703703703703702
Shashank Singh,28,704,463,32,18,51,39,1,833,25,858,30.642857142857142,1.0,30.642857142857142
Kv Sharma,21,35,22,596,372,2,3,24,43,600,643,30.61904761904762,1.0,30.61904761904762
Atharva Taide,10,260,188,4,1,30,8,0,306,0,306,30.6,1.0,30.6
Jp Inglis,11,278,177,0,0,26,16,0,336,0,336,30.545454545454547,1.0,30.545454545454547
Tu Deshpande,39,7,12,1258,890,0,0,47,7,1175,1182,30.307692307692307,1.0,30.307692307692307
Gj Maxwell,31,500,325,321,244,40,34,13,608,325,933,30.096774193548388,1.0,30.096774193548388
A Raghuvanshi,18,463,326,0,0,46,16,0,541,0,541,30.055555555555557,1.0,30.055555555555557
Dj Mitchell,13,318,228,68,38,27,10,1,365,25,390,30.0,1.0,30.0
Rr Rossouw,17,420,270,0,0,42,22,0,506,0,506,29.764705882352942,1.0,29.764705882352942
Yash Thakur,21,0,0,738,475,0,0,25,0,625,625,29.761904761904763,1.0,29.761904761904763
Jp Behrendorff,12,6,9,373,262,0,0,14,6,350,356,29.666666666666668,1.0,29.666666666666668
Mohammed Siraj,43,16,16,1307,1046,0,2,50,20,1250,1270,29.53488372093023,1.0,29.53488372093023
Sn Thakur,29,152,105,869,555,18,5,27,180,675,855,29.482758620689655,1.0,29.482758620689655
G Coetzee,14,31,33,445,292,2,2,15,37,375,412,29.428571428571427,1.0,29.428571428571427
Kh Pandya,44,430,373,922,741,32,15,32,492,800,1292,29.363636363636363,1.0,29.363636363636363
A Mhatre,7,240,131,0,0,31,11,0,293,0,293,41.857142857142854,0.7,29.299999999999997
Mukesh Kumar,32,10,20,1063,675,0,0,37,10,925,935,29.21875,1.0,29.21875
Mm Ali,25,257,213,397,305,19,14,17,304,425,729,29.16,1.0,29.16
Kuldeep Yadav,39,96,110,1102,891,10,1,41,108,1025,1133,29.05128205128205,1.0,29.05128205128205
Lh Ferguson,14,5,2,433,273,1,0,16,6,400,406,29.0,1.0,29.0
Ma Wood,4,11,5,124,102,1,1,11,14,275,289,72.25,0.4,28.900000000000002
Avesh Khan,37,31,20,1262,816,4,1,41,37,1025,1062,28.7027027027027,1.0,28.7027027027027
Pwh De Silva,19,42,45,622,426,3,0,20,45,500,545,28.68421052631579,1.0,28.68421052631579
Sikandar Raza,9,182,143,133,88,12,8,3,210,75,285,31.666666666666668,0.9,28.5
Q De Kock,23,545,420,0,0,48,28,0,649,0,649,28.217391304347824,1.0,28.217391304347824
Rasikh Salam,10,28,30,328,194,4,0,10,32,250,282,28.2,1.0,28.2
Rk Singh,36,848,589,0,0,64,47,0,1006,0,1006,27.944444444444443,1.0,27.944444444444443
Azmatullah Omarzai,15,99,77,451,300,8,5,12,117,300,417,27.8,1.0,27.8
Kk Ahmed,37,1,2,1175,826,0,0,41,1,1025,1026,27.72972972972973,1.0,27.72972972972973
N Wadhera,31,719,522,22,17,60,39,0,857,0,857,27.64516129032258,1.0,27.64516129032258
Nithish Kumar Reddy,25,485,382,241,152,31,25,5,566,125,691,27.64,1.0,27.64
A Nortje,18,41,38,715,436,6,0,18,47,450,497,27.61111111111111,1.0,27.61111111111111
Vijaykumar Vyshak,16,14,13,549,356,0,1,17,16,425,441,27.5625,1.0,27.5625
R Ashwin,36,186,161,1071,844,13,8,31,215,775,990,27.5,1.0,27.5
Ashwani Kumar,7,0,0,223,132,0,0,11,0,275,275,39.285714285714285,0.7,27.499999999999996
Ma Agarwal,18,429,343,0,0,47,9,0,494,0,494,27.444444444444443,1.0,27.444444444444443
Ds Rathi,13,1,4,416,321,0,0,14,1,350,351,27.0,1.0,27.0
B Kumar,44,79,105,1403,994,8,0,44,87,1100,1187,26.977272727272727,1.0,26.977272727272727
R Ravindra,18,413,298,7,12,40,16,0,485,0,485,26.944444444444443,1.0,26.944444444444443
Abishek Porel,29,661,454,0,0,65,27,0,780,0,780,26.896551724137932,1.0,26.896551724137932
T Natarajan,28,0,0,898,633,0,0,30,0,750,750,26.785714285714285,1.0,26.785714285714285
V Shankar,22,502,369,0,0,42,20,0,584,0,584,26.545454545454547,1.0,26.545454545454547
A Badoni,37,802,601,38,23,62,31,2,926,50,976,26.37837837837838,1.0,26.37837837837838
Ashutosh Sharma,18,393,256,0,0,24,28,0,473,0,473,26.27777777777778,1.0,26.27777777777778
Harpreet Brar,31,138,114,700,530,13,5,26,161,650,811,26.161290322580644,1.0,26.161290322580644
A Zampa,8,10,17,278,183,0,0,10,10,250,260,32.5,0.8,26.0
Mk Pandey,13,294,249,0,0,22,10,0,336,0,336,25.846153846153847,1.0,25.846153846153847
K Rabada,21,29,28,743,497,0,3,20,35,500,535,25.476190476190474,1.0,25.476190476190474
Sandeep Sharma,32,8,13,1039,769,0,0,32,8,800,808,25.25,1.0,25.25
I Sharma,24,2,9,636,456,0,0,24,2,600,602,25.083333333333332,1.0,25.083333333333332
Naman Dhir,19,392,226,75,53,37,23,0,475,0,475,25.0,1.0,25.0
J Little,11,0,0,331,236,0,0,11,0,275,275,25.0,1.0,25.0
Washington Sundar,15,193,148,328,203,16,7,6,223,150,373,24.866666666666667,1.0,24.866666666666667
Jm Sharma,37,757,507,0,0,55,50,0,912,0,912,24.64864864864865,1.0,24.64864864864865
Arshad Khan,18,119,90,465,289,5,9,12,142,300,442,24.555555555555557,1.0,24.555555555555557
