player_name,Total_Matches,Total_Bt_Runs,Total_Bt_Balls,Total_Bw_Runs,Total_Bw_Balls,Total_4s,Total_6s,Total_Wkts,Batting_Points,Bowling_Points,Total_Fantasy_Points,FPS_per_Match,Match_Factor,Adjusted_FPS,Strike_Rate,SR_Bonus_Points,Economy_Rate,Econ_Bonus_Points,Enhanced_FPS,Predicted_Fantasy_Score
V Kohli,44,2037,1436,0,0,193,73,0,2376,0,2376,54.0,1.0,54.0,141.85236768802227,2,,0,56.0,54.75123984007262
Shubman Gill,44,1966,1312,0,0,184,72,0,2294,0,2294,52.13636363636363,1.0,52.13636363636363,149.84756097560975,2,,0,54.13636363636363,54.148086395101174
B Sai Sudharsan,35,1648,1161,0,0,169,50,0,1917,0,1917,54.77142857142857,1.0,54.77142857142857,141.94659776055124,2,,0,56.77142857142857,53.43696385799535
Ybk Jaiswal,43,1619,1044,0,0,197,70,0,1956,0,1956,45.48837209302326,1.0,45.48837209302326,155.07662835249045,4,,0,49.48837209302326,50.97035261281295
Sa Yadav,43,1667,988,0,0,170,84,0,2005,0,2005,46.627906976744185,1.0,46.627906976744185,168.7246963562753,4,,0,50.627906976744185,50.35141809250162
Mr Marsh,26,816,539,256,186,76,47,13,986,325,1311,50.42307692307692,1.0,50.42307692307692,151.39146567717995,4,8.258064516129032,0,54.42307692307692,48.245422785609094
Sp Narine,40,755,480,1083,905,77,53,40,938,1000,1938,48.45,1.0,48.45,157.29166666666669,4,7.180110497237568,0,52.45,47.674296411167724
Kl Rahul,36,1340,1014,0,0,126,44,0,1554,0,1554,43.16666666666666,1.0,43.16666666666666,132.14990138067063,2,,0,45.16666666666666,45.309168129123805
F Du Plessis,38,1370,929,0,0,125,65,0,1625,0,1625,42.76315789473684,1.0,42.76315789473684,147.47039827771798,2,,0,44.76315789473684,44.58988938051088
Rd Gaikwad,34,1295,918,0,0,118,52,0,1517,0,1517,44.61764705882353,1.0,44.61764705882353,141.06753812636163,2,,0,46.61764705882353,44.3765919335563
H Klaasen,39,1414,849,0,0,93,88,0,1683,0,1683,43.15384615384615,1.0,43.15384615384615,166.54888103651356,4,,0,47.15384615384615,44.14320072480344
Ra Jadeja,44,758,558,1105,865,58,27,38,870,950,1820,41.36363636363637,1.0,41.36363636363637,135.84229390681003,2,7.664739884393064,0,43.36363636363637,43.3474751706556
N Pooran,43,1381,803,0,0,106,102,0,1691,0,1691,39.325581395348834,1.0,39.325581395348834,171.98007471980074,6,,0,45.325581395348834,43.225991032551235
Ar Patel,41,781,570,974,772,63,40,27,924,675,1599,39.0,1.0,39.0,137.01754385964912,2,7.569948186528498,0,41.0,42.911983462156165
Jc Buttler,38,1289,901,0,0,130,50,0,1519,0,1519,39.97368421052632,1.0,39.97368421052632,143.06326304106548,2,,0,41.97368421052632,42.503067996460025
Sm Curran,32,660,531,1016,627,55,23,27,761,675,1436,44.875,1.0,44.875,124.29378531073448,0,9.722488038277511,0,44.875,42.42896420678083
Abhishek Sharma,41,1149,656,283,184,110,76,4,1411,100,1511,36.85365853658536,1.0,36.85365853658536,175.15243902439025,6,9.228260869565217,0,42.85365853658536,42.16818646991412
C Green,29,707,472,634,462,62,32,17,833,425,1258,43.37931034482759,1.0,43.37931034482759,149.78813559322032,2,8.233766233766234,0,45.37931034482759,41.802816176716384
Pd Salt,34,1056,623,0,0,122,56,0,1290,0,1290,37.94117647058823,1.0,37.94117647058823,169.5024077046549,4,,0,41.94117647058823,40.87948961244963
Hh Pandya,44,786,556,922,611,61,39,28,925,700,1625,36.93181818181818,1.0,36.93181818181818,141.36690647482015,2,9.054009819967268,0,38.93181818181818,40.7436610254595
P Simran Singh,46,1291,837,0,0,135,69,0,1564,0,1564,34.0,1.0,34.0,154.24133811230584,4,,0,38.0,40.67678649793183
Ss Iyer,31,955,610,0,0,77,53,0,1138,0,1138,36.70967741935484,1.0,36.70967741935484,156.55737704918033,4,,0,40.70967741935484,39.678282972734806
Tm Head,27,941,555,32,10,114,47,0,1149,0,1149,42.55555555555556,1.0,42.55555555555556,169.54954954954954,4,19.2,-6,40.55555555555556,39.57021501942991
Ad Russell,39,616,414,659,401,49,48,34,761,850,1611,41.30769230769231,1.0,41.30769230769231,148.79227053140096,2,9.860349127182046,0,43.30769230769231,39.25575116925805
Priyansh Arya,18,545,310,0,0,60,31,0,667,0,667,37.05555555555556,1.0,37.05555555555556,175.80645161290323,6,,0,43.05555555555556,39.19603169447264
Wg Jacks,20,463,306,209,145,38,29,8,559,200,759,37.95,1.0,37.95,151.30718954248366,4,8.648275862068965,0,41.95,37.884545485838714
Mp Stoinis,41,956,644,384,247,75,58,10,1147,250,1397,34.073170731707314,1.0,34.073170731707314,148.4472049689441,2,9.327935222672066,0,36.073170731707314,37.763712423005494
Jm Bairstow,13,383,246,0,0,40,19,0,461,0,461,35.46153846153846,1.0,35.46153846153846,155.6910569105691,4,,0,39.46153846153846,37.45876312141017
J Fraser-Mcgurk,15,385,203,0,0,39,30,0,484,0,484,32.266666666666666,1.0,32.266666666666666,189.6551724137931,6,,0,38.266666666666666,37.034494854274165
Jj Bumrah,25,12,13,626,617,1,0,38,13,950,963,38.52,1.0,38.52,92.3076923076923,0,6.087520259319287,2,40.52,37.0092866753995
D Brevis,9,294,189,0,0,16,22,0,354,0,354,39.333333333333336,0.9,35.400000000000006,155.55555555555557,4,,0,39.400000000000006,36.511251237868755
Pj Cummins,30,233,157,992,687,15,15,34,278,850,1128,37.6,1.0,37.6,148.4076433121019,2,8.663755458515285,0,39.6,36.237322722268004
Tilak Varma,37,1102,776,14,11,84,58,0,1302,0,1302,35.189189189189186,1.0,35.189189189189186,142.01030927835052,2,7.636363636363637,0,37.18918918918919,36.20057144204992
Rashid Khan,44,272,173,1422,1005,21,19,46,331,1150,1481,33.65909090909091,1.0,33.65909090909091,157.22543352601156,4,8.48955223880597,0,37.65909090909091,36.126766584766195
R Parag,35,1048,722,187,147,72,65,3,1250,75,1325,37.85714285714285,1.0,37.85714285714285,145.1523545706371,2,7.63265306122449,0,39.85714285714285,36.04445571925928
S Dhawan,16,525,400,0,0,67,16,0,624,0,624,39.0,1.0,39.0,131.25,2,,0,41.0,36.02380534258061
Da Warner,22,684,536,0,0,86,20,0,810,0,810,36.81818181818182,1.0,36.81818181818182,127.61194029850746,0,,0,36.81818181818182,35.62455082763221
Sv Samson,38,1178,812,0,0,100,61,0,1400,0,1400,36.8421052631579,1.0,36.8421052631579,145.07389162561577,2,,0,38.8421052631579,35.49595468786594
Dp Conway,21,828,618,0,0,94,22,0,966,0,966,46.0,1.0,46.0,133.98058252427185,2,,0,48.0,35.40660381113189
Rg Sharma,45,1167,843,0,0,121,62,0,1412,0,1412,31.377777777777776,1.0,31.377777777777776,138.43416370106763,2,,0,33.37777777777778,35.16198892958011
Ak Markram,37,913,693,184,130,74,34,5,1055,125,1180,31.89189189189189,1.0,31.89189189189189,131.74603174603175,2,8.492307692307692,0,33.89189189189189,34.65047525079701
Am Rahane,35,958,668,0,0,84,43,0,1128,0,1128,32.22857142857143,1.0,32.22857142857143,143.4131736526946,2,,0,34.22857142857143,34.590783347360414
Rr Pant,26,715,504,0,0,59,41,0,856,0,856,32.92307692307692,1.0,32.92307692307692,141.86507936507937,2,,0,34.92307692307692,34.536981080175785
Rr Rossouw,17,420,270,0,0,42,22,0,506,0,506,29.764705882352946,1.0,29.764705882352946,155.55555555555557,4,,0,33.76470588235294,34.22935365342726
Jp Inglis,11,278,177,0,0,26,16,0,336,0,336,30.545454545454547,1.0,30.545454545454547,157.06214689265536,4,,0,34.54545454545455,34.179997119256925
Naveen-Ul-Haq,17,18,26,571,407,2,0,25,20,625,645,37.94117647058823,1.0,37.94117647058823,69.23076923076923,-2,8.417690417690418,0,35.94117647058823,34.093136984769494
M Markande,17,21,14,546,372,2,1,20,25,500,525,30.88235294117647,1.0,30.88235294117647,150.0,4,8.806451612903226,0,34.88235294117647,34.08128838670636
N Rana,27,672,479,92,66,71,30,3,803,75,878,32.51851851851852,1.0,32.51851851851852,140.29227557411275,2,8.363636363636363,0,34.51851851851852,33.85770663650778
N Wadhera,31,719,522,22,17,60,39,0,857,0,857,27.64516129032258,1.0,27.64516129032258,137.73946360153258,2,7.764705882352941,0,29.64516129032258,33.825372314805605
Kv Sharma,21,35,22,596,372,2,3,24,43,600,643,30.61904761904762,1.0,30.61904761904762,159.0909090909091,4,9.612903225806452,0,34.61904761904762,33.4129476716565
Gj Maxwell,31,500,325,321,244,40,34,13,608,325,933,30.096774193548388,1.0,30.096774193548388,153.84615384615387,4,7.89344262295082,0,34.096774193548384,33.41031952922254
M Prasidh Krishna,15,0,0,477,364,0,0,25,0,625,625,41.66666666666666,1.0,41.66666666666666,0.0,-6,7.862637362637363,0,35.666666666666664,33.39743865394396
Naman Dhir,19,392,226,75,53,37,23,0,475,0,475,25.0,1.0,25.0,173.4513274336283,6,8.490566037735848,0,31.0,33.29996694387176
Rm Patidar,27,707,462,0,0,46,47,0,847,0,847,31.37037037037037,1.0,31.37037037037037,153.03030303030303,4,,0,35.37037037037037,33.177254680123355
Lh Ferguson,14,5,2,433,273,1,0,16,6,400,406,29.0,1.0,29.0,250.0,6,9.516483516483516,0,35.0,33.14353413916068
R Sai Kishore,20,18,16,520,355,0,2,26,22,650,672,33.6,1.0,33.6,112.5,0,8.788732394366198,0,33.6,33.106374455322026
Jr Hazlewood,15,1,3,453,327,0,0,25,1,625,626,41.73333333333333,1.0,41.73333333333333,33.33333333333333,-6,8.311926605504587,0,35.733333333333334,32.95331422514958
Se Rutherford,11,291,203,0,0,22,18,0,349,0,349,31.727272727272727,1.0,31.727272727272727,143.34975369458127,2,,0,33.72727272727273,32.83111248470554
Avesh Khan,37,31,20,1262,816,4,1,41,37,1025,1062,28.7027027027027,1.0,28.7027027027027,155.0,4,9.279411764705882,0,32.7027027027027,32.663566857155836
Ls Livingstone,25,502,347,251,171,32,35,7,604,175,779,31.16,1.0,31.16,144.6685878962536,2,8.807017543859649,0,33.16,32.56205041255115
R Ravindra,18,413,298,7,12,40,16,0,485,0,485,26.944444444444443,1.0,26.944444444444443,138.59060402684565,2,3.5,6,34.94444444444444,32.39383908358877
Rd Rickelton,14,388,266,0,0,47,17,0,469,0,469,33.5,1.0,33.5,145.86466165413535,2,,0,35.5,32.38674416458256
Ishan Kishan,42,1128,793,4,1,122,49,0,1348,0,1348,32.095238095238095,1.0,32.095238095238095,142.24464060529633,2,24.0,-6,28.09523809523809,32.23369126588446
Mohammed Shami,26,15,19,829,590,2,0,34,17,850,867,33.34615384615385,1.0,33.34615384615385,78.94736842105263,0,8.430508474576271,0,33.34615384615385,32.11914990322396
S Dube,42,1171,825,42,19,62,84,1,1401,25,1426,33.95238095238095,1.0,33.95238095238095,141.93939393939394,2,13.263157894736842,-6,29.95238095238095,31.944674064838285
A Raghuvanshi,18,463,326,0,0,46,16,0,541,0,541,30.05555555555556,1.0,30.05555555555556,142.0245398773006,2,,0,32.05555555555556,31.768780263129067
Pp Chawla,27,40,37,793,586,2,2,35,46,875,921,34.111111111111114,1.0,34.111111111111114,108.10810810810813,0,8.119453924914675,0,34.111111111111114,31.75831927189908
Shashank Singh,28,704,463,32,18,51,39,1,833,25,858,30.642857142857142,1.0,30.642857142857142,152.05183585313176,4,10.666666666666666,-2,32.64285714285714,31.7507846933268
V Nigam,14,142,82,345,244,16,8,12,174,300,474,33.857142857142854,1.0,33.857142857142854,173.17073170731706,6,8.48360655737705,0,39.85714285714285,31.71568580203272
Sn Thakur,29,152,105,869,555,18,5,27,180,675,855,29.48275862068965,1.0,29.48275862068965,144.76190476190476,2,9.394594594594595,0,31.48275862068965,31.58093301223488
Rk Singh,36,848,589,0,0,64,47,0,1006,0,1006,27.944444444444443,1.0,27.944444444444443,143.9728353140917,2,,0,29.944444444444443,31.458775491545403
M Jansen,25,132,125,780,546,8,5,27,150,675,825,33.0,1.0,33.0,105.6,0,8.571428571428571,0,33.0,31.39946520888896
Jj Roy,8,285,196,0,0,36,12,0,345,0,345,43.125,0.8,34.5,145.40816326530611,2,,0,36.5,31.35927806803668
Ashutosh Sharma,18,393,256,0,0,24,28,0,473,0,473,26.27777777777778,1.0,26.27777777777778,153.515625,4,,0,30.27777777777778,31.244004218112945
Kh Pandya,44,430,373,922,741,32,15,32,492,800,1292,29.363636363636363,1.0,29.363636363636363,115.28150134048258,0,7.465587044534413,0,29.363636363636363,31.08083793842569
A Badoni,37,802,601,38,23,62,31,2,926,50,976,26.37837837837838,1.0,26.37837837837838,133.4442595673877,2,9.91304347826087,0,28.37837837837838,30.369385191399864
Akash Madhwal,17,8,14,562,376,0,0,24,8,600,608,35.76470588235294,1.0,35.76470588235294,57.14285714285714,-4,8.96808510638298,0,31.764705882352946,30.231195047668486
T Stubbs,29,709,438,68,37,51,38,4,836,100,936,32.27586206896552,1.0,32.27586206896552,161.87214611872147,4,11.027027027027026,-4,32.27586206896552,30.145558413950468
Jm Sharma,37,757,507,0,0,55,50,0,912,0,912,24.64864864864865,1.0,24.64864864864865,149.3096646942801,2,,0,26.64864864864865,30.081780149326477
Kr Mayers,13,379,276,55,46,38,22,0,461,0,461,35.46153846153846,1.0,35.46153846153846,137.31884057971016,2,7.173913043478261,0,37.46153846153846,29.949911868675596
Ma Starc,25,15,22,790,512,1,0,31,16,775,791,31.64,1.0,31.64,68.18181818181817,-2,9.2578125,0,29.64,29.59630398272105
Vr Iyer,34,916,633,28,6,82,44,0,1086,0,1086,31.94117647058824,1.0,31.94117647058824,144.70774091627172,2,28.0,-6,27.941176470588232,29.488232488915006
Mohammed Siraj,43,16,16,1307,1046,0,2,50,20,1250,1270,29.53488372093023,1.0,29.53488372093023,100.0,0,7.497131931166348,0,29.53488372093023,29.449297506920843
M Pathirana,30,0,0,870,739,0,0,45,0,1125,1125,37.5,1.0,37.5,0.0,-6,7.06359945872801,0,31.5,29.380701136237178
Arshdeep Singh,44,8,12,1451,1017,1,0,57,9,1425,1434,32.59090909090909,1.0,32.59090909090909,66.66666666666666,-2,8.56047197640118,0,30.590909090909093,29.32613303034448
Q De Kock,23,545,420,0,0,48,28,0,649,0,649,28.217391304347824,1.0,28.217391304347824,129.76190476190476,0,,0,28.217391304347824,29.13182668650028
Harshit Rana,30,57,55,949,648,5,3,39,68,975,1043,34.766666666666666,1.0,34.766666666666666,103.63636363636364,0,8.787037037037036,0,34.766666666666666,29.112221101670045
Cv Varun,41,2,12,1185,940,0,0,58,2,1450,1452,35.41463414634146,1.0,35.41463414634146,16.666666666666664,-6,7.563829787234043,0,29.414634146341463,28.846061667484857
V Shankar,22,502,369,0,0,42,20,0,584,0,584,26.545454545454547,1.0,26.545454545454547,136.0433604336043,2,,0,28.545454545454547,28.62831341294483
Abishek Porel,29,661,454,0,0,65,27,0,780,0,780,26.89655172413793,1.0,26.89655172413793,145.59471365638768,2,,0,28.89655172413793,28.458539400786066
Kuldeep Yadav,39,96,110,1102,891,10,1,41,108,1025,1133,29.05128205128205,1.0,29.05128205128205,87.27272727272727,0,7.420875420875421,0,29.05128205128205,28.422007444803477
G Coetzee,14,31,33,445,292,2,2,15,37,375,412,29.428571428571427,1.0,29.428571428571427,93.93939393939394,0,9.143835616438356,0,29.428571428571427,28.265844926301245
Pwh De Silva,19,42,45,622,426,3,0,20,45,500,545,28.68421052631579,1.0,28.68421052631579,93.33333333333331,0,8.76056338028169,0,28.68421052631579,28.254152613980974
M Shahrukh Khan,30,462,281,28,18,33,31,1,557,25,582,19.4,1.0,19.4,164.41281138790035,4,9.333333333333334,0,23.4,28.248025284726438
Ma Agarwal,18,429,343,0,0,47,9,0,494,0,494,27.444444444444443,1.0,27.444444444444443,125.0728862973761,0,,0,27.444444444444443,28.180794972202293
Dj Mitchell,13,318,228,68,38,27,10,1,365,25,390,30.0,1.0,30.0,139.4736842105263,2,10.736842105263158,-2,30.0,28.168943291503048
Noor Ahmad,37,20,35,1023,827,2,0,48,22,1200,1222,33.027027027027025,1.0,33.027027027027025,57.14285714285714,-4,7.422007255139056,0,29.027027027027025,28.13642339442651
R Ashwin,36,186,161,1071,844,13,8,31,215,775,990,27.5,1.0,27.5,115.527950310559,0,7.613744075829384,0,27.5,28.08463622759265
Vijaykumar Vyshak,16,14,13,549,356,0,1,17,16,425,441,27.5625,1.0,27.5625,107.6923076923077,0,9.252808988764045,0,27.5625,28.00969789126712
Dl Chahar,32,38,27,837,624,3,2,29,45,725,770,24.0625,1.0,24.0625,140.74074074074073,2,8.048076923076923,0,26.0625,27.982453099638807
Hv Patel,40,40,52,1285,905,1,2,54,45,1350,1395,34.875,1.0,34.875,76.92307692307693,0,8.519337016574585,0,34.875,27.90176145531022
Ta Boult,41,32,37,1227,925,3,1,51,37,1275,1312,32.0,1.0,32.0,86.48648648648648,0,7.958918918918919,0,32.0,27.880957548418586
Mustafizur Rahman,14,1,2,465,333,0,0,19,1,475,476,34.0,1.0,34.0,50.0,-4,8.378378378378379,0,30.0,27.78899507326876
Nithish Kumar Reddy,25,485,382,241,152,31,25,5,566,125,691,27.64,1.0,27.64,126.96335078534032,0,9.513157894736842,0,27.64,27.71330447734353
Pp Shaw,16,304,215,0,0,46,6,0,362,0,362,22.625,1.0,22.625,141.3953488372093,2,,0,24.625,27.588660888312862
Mm Ali,25,257,213,397,305,19,14,17,304,425,729,29.16,1.0,29.16,120.65727699530515,0,7.80983606557377,0,29.16,27.5802986277983
Azmatullah Omarzai,15,99,77,451,300,8,5,12,117,300,417,27.8,1.0,27.8,128.57142857142858,0,9.02,0,27.8,27.579664650012262
Ma Wood,4,11,5,124,102,1,1,11,14,275,289,72.25,0.4,28.9,220.00000000000003,6,7.294117647058823,0,34.900000000000006,27.57433333333324
B Kumar,44,79,105,1403,994,8,0,44,87,1100,1187,26.977272727272727,1.0,26.977272727272727,75.23809523809524,0,8.468812877263582,0,26.977272727272727,27.44107777421915
Aniket Verma,12,236,148,0,0,12,20,0,288,0,288,24.0,1.0,24.0,159.45945945945945,4,,0,28.0,27.33616196149529
Harpreet Brar,31,138,114,700,530,13,5,26,161,650,811,26.161290322580644,1.0,26.161290322580644,121.05263157894736,0,7.924528301886792,0,26.161290322580644,27.313519496466814
Jc Archer,17,67,55,585,421,3,4,13,78,325,403,23.705882352941178,1.0,23.705882352941178,121.81818181818184,0,8.337292161520189,0,23.705882352941178,26.98039365139792
Tu Deshpande,39,7,12,1258,890,0,0,47,7,1175,1182,30.307692307692307,1.0,30.307692307692307,58.333333333333336,-4,8.480898876404494,0,26.307692307692307,26.854007356369863
Kd Karthik,26,466,301,0,0,40,27,0,560,0,560,21.53846153846154,1.0,21.53846153846154,154.8172757475083,4,,0,25.53846153846154,26.796757818742716
R Shepherd,14,127,50,299,166,10,12,7,161,175,336,24.0,1.0,24.0,254.0,6,10.80722891566265,-2,28.0,26.792481304938143
Th David,35,659,430,0,0,42,44,0,789,0,789,22.542857142857144,1.0,22.542857142857144,153.25581395348837,4,,0,26.542857142857144,26.783249687709
Arshad Khan,18,119,90,465,289,5,9,12,142,300,442,24.55555555555556,1.0,24.55555555555556,132.22222222222223,2,9.653979238754326,0,26.55555555555556,26.660445071826196
Vg Arora,27,4,11,802,580,0,0,33,4,825,829,30.703703703703702,1.0,30.703703703703702,36.36363636363637,-6,8.296551724137931,0,24.703703703703702,26.5052276230284
Ys Chahal,42,0,0,1373,965,0,0,55,0,1375,1375,32.73809523809524,1.0,32.73809523809524,0.0,-6,8.536787564766838,0,26.73809523809524,26.45975684323587
Atharva Taide,10,260,188,4,1,30,8,0,306,0,306,30.6,1.0,30.6,138.29787234042556,2,24.0,-6,26.6,26.35635129068471
A Nortje,18,41,38,715,436,6,0,18,47,450,497,27.61111111111111,1.0,27.61111111111111,107.89473684210526,0,9.839449541284402,0,27.61111111111111,26.217685157467812
Rahmanullah Gurbaz,18,363,283,0,0,34,22,0,441,0,441,24.5,1.0,24.5,128.26855123674912,0,,0,24.5,26.203841173081287
Dhruv Jurel,35,680,456,0,0,51,38,0,807,0,807,23.057142857142857,1.0,23.057142857142857,149.12280701754386,2,,0,25.057142857142857,26.168103748694293
Jp Behrendorff,12,6,9,373,262,0,0,14,6,350,356,29.666666666666668,1.0,29.666666666666668,66.66666666666666,-2,8.541984732824428,0,27.666666666666668,26.16667722920361
K Rabada,21,29,28,743,497,0,3,20,35,500,535,25.476190476190474,1.0,25.476190476190474,103.57142857142858,0,8.969818913480886,0,25.476190476190474,26.132088048944183
Mk Pandey,13,294,249,0,0,22,10,0,336,0,336,25.846153846153847,1.0,25.846153846153847,118.07228915662652,0,,0,25.846153846153847,26.113459967892005
Jd Unadkat,21,33,34,562,398,3,1,19,38,475,513,24.428571428571427,1.0,24.428571428571427,97.05882352941175,0,8.472361809045227,0,24.428571428571427,25.698953684758386
Washington Sundar,15,193,148,328,203,16,7,6,223,150,373,24.866666666666667,1.0,24.866666666666667,130.4054054054054,2,9.694581280788176,0,26.866666666666667,25.63740214846888
Da Miller,32,622,457,0,0,51,25,0,723,0,723,22.59375,1.0,22.59375,136.10503282275712,2,,0,24.59375,25.56528270639241
Rd Chahar,24,21,25,667,496,3,1,18,26,450,476,19.83333333333333,1.0,19.83333333333333,84.0,0,8.068548387096774,0,19.83333333333333,25.477686195367422
Sikandar Raza,9,182,143,133,88,12,8,3,210,75,285,31.666666666666668,0.9,28.5,127.27272727272728,0,9.068181818181818,0,28.5,25.352797051713704
So Hetmyer,35,657,459,0,0,39,41,0,778,0,778,22.228571428571428,1.0,22.228571428571428,143.13725490196077,2,,0,24.228571428571428,25.342230162777604
Ra Tripathi,24,493,395,0,0,53,17,0,580,0,580,24.166666666666668,1.0,24.166666666666668,124.81012658227849,0,,0,24.166666666666668,25.233291673114966
Yash Thakur,21,0,0,738,475,0,0,25,0,625,625,29.761904761904763,1.0,29.761904761904763,0.0,-6,9.322105263157894,0,23.761904761904763,25.147107795724384
Mukesh Kumar,32,10,20,1063,675,0,0,37,10,925,935,29.21875,1.0,29.21875,50.0,-4,9.448888888888888,0,25.21875,24.921672650129487
